                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46334,                0.58708,                 2.1549,                0.93754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.066721,             3.3312e-05,             3.3312e-05
                      2,                0.38801,                 0.4759,                 1.0479,                0.90217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.03342,             6.5979e-05,             6.5979e-05
                      3,                0.34277,                0.41661,                0.79951,                0.88574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011888,              9.798e-05,              9.798e-05
                      4,                0.32261,                  0.385,                0.70321,                0.87848,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                9.7e-05,                9.7e-05,                9.7e-05
                      5,                0.30512,                0.35793,                0.63565,                0.87337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                9.7e-05,                9.7e-05,                9.7e-05
                      6,                0.30121,                0.34228,                0.59562,                0.87264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                9.6e-05,                9.6e-05,                9.6e-05
                      7,                0.29089,                0.33947,                0.56945,                0.86865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                9.5e-05,                9.5e-05,                9.5e-05
                      8,                0.28376,                0.32721,                0.54023,                0.86617,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.4001e-05,             9.4001e-05,             9.4001e-05
                      9,                0.28028,                0.31828,                0.52477,                0.86326,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.3001e-05,             9.3001e-05,             9.3001e-05
                     10,                0.27567,                0.30839,                0.50217,                0.86171,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.2001e-05,             9.2001e-05,             9.2001e-05
                     11,                0.26793,                0.30143,                0.48179,                0.85918,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.1001e-05,             9.1001e-05,             9.1001e-05
                     12,                0.26581,                0.30051,                0.48056,                 0.8575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.0001e-05,             9.0001e-05,             9.0001e-05
                     13,                0.26152,                 0.2906,                0.46387,                0.85678,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.9001e-05,             8.9001e-05,             8.9001e-05
                     14,                0.26152,                0.29328,                0.45766,                0.85756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.8001e-05,             8.8001e-05,             8.8001e-05
                     15,                0.25966,                0.28947,                0.45071,                0.85524,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.7001e-05,             8.7001e-05,             8.7001e-05
                     16,                0.25298,                 0.2777,                0.43605,                0.85163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6001e-05,             8.6001e-05,             8.6001e-05
                     17,                0.25193,                0.27941,                0.42862,                0.85138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5002e-05,             8.5002e-05,             8.5002e-05
                     18,                0.25202,                0.27751,                0.42497,                0.85222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.4002e-05,             8.4002e-05,             8.4002e-05
                     19,                0.24515,                0.26662,                0.41746,                0.84804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.3002e-05,             8.3002e-05,             8.3002e-05
                     20,                0.24601,                0.27288,                0.41733,                0.84896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.2002e-05,             8.2002e-05,             8.2002e-05
                     21,                0.24436,                0.27078,                0.40374,                0.84814,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.1002e-05,             8.1002e-05,             8.1002e-05
                     22,                0.24449,                0.27194,                0.40662,                0.85021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.0002e-05,             8.0002e-05,             8.0002e-05
                     23,                0.24172,                0.26444,                0.39505,                0.84848,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     24,                0.23984,                0.26566,                0.39597,                0.84769,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     25,                0.23779,                0.26039,                 0.3868,                0.84477,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.7002e-05,             7.7002e-05,             7.7002e-05
                     26,                0.23852,                0.25919,                0.38546,                0.84757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.6002e-05,             7.6002e-05,             7.6002e-05
                     27,                0.23576,                0.26079,                 0.3845,                0.84535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.5002e-05,             7.5002e-05,             7.5002e-05
                     28,                0.23426,                 0.2588,                0.38077,                0.84376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.4003e-05,             7.4003e-05,             7.4003e-05
                     29,                0.23248,                0.25226,                0.37661,                 0.8439,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.3003e-05,             7.3003e-05,             7.3003e-05
                     30,                0.23118,                0.25119,                0.36737,                0.84276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2003e-05,             7.2003e-05,             7.2003e-05
                     31,                0.23072,                0.24948,                0.37031,                0.84016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.1003e-05,             7.1003e-05,             7.1003e-05
                     32,                0.22929,                0.24871,                0.36033,                0.84266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.0003e-05,             7.0003e-05,             7.0003e-05
                     33,                0.22903,                0.24784,                0.36041,                0.84177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.9003e-05,             6.9003e-05,             6.9003e-05
                     34,                0.22582,                0.24736,                0.35912,                0.84242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.8003e-05,             6.8003e-05,             6.8003e-05
