                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39399,                0.52898,                 1.6593,                0.91157,                0.78786,                0.81865,                0.87782,                0.82616,                0.79523,                0.82158,                0.88077,                0.74131,                0.29623,                0.50267,                0.80982,                0.87384,               0.066731,             3.3302e-05,             3.3302e-05
                      2,                 0.3174,                0.39846,                0.74385,                  0.879,                0.84119,                0.89597,                0.92833,                0.88524,                0.84614,                0.89165,                  0.927,                0.82092,                0.24146,                0.42749,                0.53676,                0.84622,                0.03343,             6.5802e-05,             6.5802e-05
                      3,                0.28059,                0.34579,                0.59975,                0.86824,                0.85701,                 0.8957,                0.93995,                 0.8986,                0.85992,                  0.896,                 0.9387,                0.83243,                0.23375,                0.35457,                 0.5034,                0.84301,              0.0001288,              9.747e-05,              9.747e-05
                      4,                0.26893,                0.32078,                0.53334,                0.86462,                0.89936,                0.89128,                0.94992,                0.90891,                0.90726,                0.89273,                0.94863,                 0.8407,                0.22969,                0.33246,                0.43136,                0.84572,              9.625e-05,              9.625e-05,              9.625e-05
                      5,                0.25871,                0.30522,                0.49019,                0.86147,                0.89524,                0.90772,                0.94941,                 0.9091,                0.89945,                0.90759,                0.94772,                0.83937,                0.22361,                0.33649,                0.43483,                0.84472,              9.625e-05,              9.625e-05,              9.625e-05
                      6,                0.25132,                0.29109,                0.46374,                0.85691,                0.89857,                0.91642,                0.95397,                0.91682,                0.90624,                0.91415,                0.95537,                0.84501,                0.21336,                0.34418,                0.39799,                  0.837,                9.5e-05,                9.5e-05,                9.5e-05
                      7,                 0.2449,                0.28612,                0.44752,                0.85419,                0.90733,                0.90634,                0.95598,                0.91714,                0.90942,                0.91113,                0.95551,                0.84886,                0.21808,                 0.3516,                0.39455,                0.84161,             9.3751e-05,             9.3751e-05,             9.3751e-05
                      8,                0.24203,                0.27753,                0.42518,                0.85334,                0.91928,                0.90556,                0.95798,                0.92165,                0.92502,                0.91014,                0.95932,                0.85637,                0.21322,                0.32668,                0.37582,                0.83832,             9.2501e-05,             9.2501e-05,             9.2501e-05
                      9,                0.23805,                0.27576,                0.41741,                0.85106,                0.91114,                0.90126,                0.95658,                0.92028,                0.91391,                0.90429,                0.95558,                0.85123,                0.20677,                0.32692,                0.38914,                 0.8354,             9.1251e-05,             9.1251e-05,             9.1251e-05
                     10,                0.23201,                0.26233,                0.40354,                0.84851,                0.90542,                 0.9176,                0.95986,                0.92369,                0.90835,                0.92174,                0.96163,                0.85914,                0.20131,                0.32443,                0.37583,                0.83253,             9.0001e-05,             9.0001e-05,             9.0001e-05
                     11,                 0.2292,                0.26175,                0.39675,                0.84666,                0.90511,                0.91382,                0.95709,                0.92015,                0.91082,                0.91623,                0.95726,                0.85702,                0.20461,                0.32488,                0.37744,                0.83486,             8.8751e-05,             8.8751e-05,             8.8751e-05
                     12,                0.22676,                0.26292,                 0.3875,                0.84696,                0.91489,                0.91266,                0.95957,                0.92384,                0.91981,                0.90859,                0.95766,                0.85975,                 0.2037,                0.33197,                 0.3603,                0.83682,             8.7501e-05,             8.7501e-05,             8.7501e-05
